pathway,pval,padj,NES,size
HALLMARK_MYC_TARGETS_V1,2.9268764474192534e-38,7.317191118548133e-37,-3.198249076422239,193
HALLMARK_MYC_TARGETS_V2,1.8281667221375752e-17,3.046944536895959e-16,-2.9291574655122536,56
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,7.266634629878525e-11,7.266634629878525e-10,-2.4085936251188516,103
HALLMARK_MTORC1_SIGNALING,2.6603815761307854e-11,3.325476970163482e-10,-2.263779852302171,184
HALLMARK_ALLOGRAFT_REJECTION,5.398404245128447e-8,4.498670204273706e-7,-2.258415696068415,89
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.00056418508516459145,0.002014946732730684,-1.8783580526650847,43
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.2881562839285963e-6,2.3486830599489976e-5,-1.8398143813388699,182
HALLMARK_ESTROGEN_RESPONSE_EARLY,2.953453502866614e-5,1.8459084392916336e-4,-1.8333097501999867,133
HALLMARK_IL2_STAT5_SIGNALING,6.414146869838434e-5,2.915521304472016e-4,-1.81393238630119,136
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0016707369033968987,0.005569123011322996,-1.781380926826668,50
HALLMARK_UV_RESPONSE_UP,2.044127742062665e-4,8.517198925261105e-4,-1.7383276419062499,125
HALLMARK_TNFA_SIGNALING_VIA_NFKB,4.1023590558824356e-4,0.001577830406108629,-1.6648190574285342,146
HALLMARK_GLYCOLYSIS,0.0022528335522495786,0.007040104850779933,-1.5432388422644912,152
HALLMARK_XENOBIOTIC_METABOLISM,0.004173424845278697,0.012274778956702051,-1.5212712746668187,119
HALLMARK_ANGIOGENESIS,0.047619047619047616,0.11736734838379502,-1.4876025942093598,21
HALLMARK_NOTCH_SIGNALING,0.06927175843694494,0.13854351687388988,-1.4208092336273386,25
HALLMARK_INFLAMMATORY_RESPONSE,0.03695805915180821,0.09725805039949531,-1.4198858320439653,95
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0516416332888698,0.11736734838379502,-1.3686062658491138,84
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.05862646566164154,0.12744883839487292,-1.3339138145240834,93
HALLMARK_ADIPOGENESIS,0.04995123612720467,0.11736734838379502,-1.3267237865607735,167
HALLMARK_ANDROGEN_RESPONSE,0.07439446366782007,0.13918502724472875,-1.2974901818423945,81
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.06688963210702341,0.13854351687388988,-1.2915285775970338,132
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0779436152570481,0.13918502724472875,-1.2795641709397227,129
HALLMARK_DNA_REPAIR,0.09181969949916527,0.15830982672269872,-1.2369494384211206,143
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.161231884057971,0.26871980676328505,-1.214605652108269,33
HALLMARK_COMPLEMENT,0.17845117845117844,0.28704073482428116,-1.1546204229446584,125
HALLMARK_TGF_BETA_SIGNALING,0.21415929203539824,0.31494013534617393,-1.1472326093009215,48
HALLMARK_E2F_TARGETS,0.18370607028753994,0.28704073482428116,-1.130260451904315,194
HALLMARK_APICAL_JUNCTION,0.26262626262626265,0.35490035490035493,-1.0833814657449843,125
HALLMARK_MYOGENESIS,0.35618729096989965,0.44217412372799225,-1.0399049120995902,113
HALLMARK_P53_PATHWAY,0.36258278145695366,0.44217412372799225,-1.0347956297892593,158
HALLMARK_G2M_CHECKPOINT,0.566068515497553,0.6432596767017649,-0.9574849356242618,186
HALLMARK_PROTEIN_SECRETION,0.6751269035532995,0.7338335908188038,-0.8977937481471363,90
HALLMARK_SPERMATOGENESIS,0.8010291595197255,0.8344053744997142,-0.8247374546661297,68
HALLMARK_HEDGEHOG_SIGNALING,0.9342105263157895,0.9342105263157895,-0.6384491832906919,17
HALLMARK_UV_RESPONSE_DN,0.9181141439205955,0.9342105263157895,0.790416786591134,101
HALLMARK_APICAL_SURFACE,0.7538461538461538,0.8019639934533551,0.79176506897134,20
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5975903614457831,0.6639892904953146,0.9437533165247718,63
HALLMARK_PEROXISOME,0.491566265060241,0.5715886803026058,0.9734281119162939,83
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.44988344988344986,0.5355755355755355,0.9852602911489025,75
HALLMARK_MITOTIC_SPINDLE,0.35475578406169667,0.44217412372799225,1.0304966517246312,186
HALLMARK_PANCREAS_BETA_CELLS,0.34394904458598724,0.44217412372799225,1.0800840988650615,15
HALLMARK_KRAS_SIGNALING_UP,0.2301980198019802,0.32395919492693687,1.109460840532432,103
HALLMARK_APOPTOSIS,0.23325062034739455,0.32395919492693687,1.1193888778613021,119
HALLMARK_FATTY_ACID_METABOLISM,0.20393120393120392,0.30898667262303625,1.1346886794131552,123
HALLMARK_COAGULATION,0.07728337236533958,0.13918502724472875,1.313641321150091,64
HALLMARK_HYPOXIA,0.015499785886690563,0.043054960796362673,1.422291724522133,144
HALLMARK_KRAS_SIGNALING_DN,5.409183807453846e-5,2.704591903726923e-4,1.9520515277534285,72
HALLMARK_BILE_ACID_METABOLISM,5.3704545677823395e-5,2.704591903726923e-4,1.9631255049584375,68
HALLMARK_HEME_METABOLISM,5.605158073131603e-47,2.8025790365658017e-45,3.520520235687653,187
