pathway,pval,padj,NES,size
KEGG_PROTEASOME,2.4937792719039567e-11,1.8578655575684478e-9,-2.641646039475243,38
KEGG_SPLICEOSOME,3.216753563646501e-15,4.792962809833286e-13,-2.5887234508022234,123
KEGG_RNA_POLYMERASE,6.52226468761482e-6,2.4295435961365207e-4,-2.216379709706532,28
KEGG_PURINE_METABOLISM,3.0317455127079974e-7,1.5057669379783053e-5,-2.0477410218759498,116
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,1.8071137809429718e-4,0.003846570762292897,-2.033132757533607,24
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,2.9058622249454857e-4,0.005412168393960967,-2.004098956872037,20
KEGG_SELENOAMINO_ACID_METABOLISM,3.669434309886472e-4,0.0054674571217308435,-1.9927986911445075,20
KEGG_PYRIMIDINE_METABOLISM,8.736484050571412e-6,2.6034722470702807e-4,-1.9653651368750427,89
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.0026552862082120984,0.030433665001815588,-1.9001583869626295,18
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.0028791529677353886,0.03064241372804092,-1.79402040426733,33
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.0036237570585223185,0.034143340451212756,-1.7839604512487075,28
KEGG_VIRAL_MYOCARDITIS,0.0037366099367368718,0.034143340451212756,-1.7477391620979603,30
KEGG_PROTEIN_EXPORT,0.010212703044839181,0.07556468586602492,-1.7011453647212467,22
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.008839317035231588,0.06931885464471087,-1.6789288250132213,31
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.011664347482674987,0.07556468586602492,-1.6367986702037336,36
KEGG_PARKINSONS_DISEASE,0.005604814968882026,0.04639541279796789,-1.6209051216321055,84
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.019975237226235284,0.11041836922997429,-1.5988410685436167,22
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.022696263984489467,0.11272477778963103,-1.5958284693834421,25
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.027475926009022114,0.11696894215269414,-1.581978162242167,16
KEGG_MAPK_SIGNALING_PATHWAY,8.50569582834913e-4,0.011521351622036548,-1.544482645249325,183
KEGG_RNA_DEGRADATION,0.02000869777992823,0.11041836922997429,-1.517016689346686,50
KEGG_OXIDATIVE_PHOSPHORYLATION,0.011466155075063772,0.07556468586602492,-1.4970789548297816,86
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.01384785768182981,0.08253323178370567,-1.4944245181932843,74
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.02888182021319412,0.11953864477127568,-1.4941458288196747,43
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.02446963949359904,0.11393675889207054,-1.440960074053322,79
KEGG_LONG_TERM_DEPRESSION,0.055979399676537034,0.21387001414882098,-1.4388321261597021,40
