kinase,pKd,n_substrates,n_substrates_detected,mean_substrate_lfc,mean_abs_substrate_lfc,median_substrate_lfc
BCR,8.186095459518185,3,3,-0.09513868637446306,0.10407987901034321,-0.0913718655721146
ABL2,7.193699585820995,14,12,-0.3604233124771945,0.515250105795492,-0.4274711723966898
ABL1,6.9749250440468265,88,70,0.013390277520085082,0.4961743999361336,-0.11904095246917104
CSNK2A1;CSNK2A3,5.4221785697452765,248,206,-0.15852567075928942,0.5565570908951096,-0.11994257310030279
CSNK2A2,5.415376405212096,10,9,-0.1780609035776326,0.3701876563222087,-0.0411777190366587
PAK4,5.0,8,7,-0.27053638195892227,0.3912289733689642,-0.4381366153322092
PAK6,5.0,4,4,0.2482097175646395,0.9176131817260882,-0.17104304151818336
PAK2,5.0,13,12,-0.23457561253280793,0.5818772897083652,-0.2534856047609075
PDGFRB,5.0,11,9,-0.23897045289336707,0.46345595610573537,-0.4362493485478907
PDPK1;PDPK2P,5.0,24,23,-0.18166766969063375,0.6116351582158203,-0.1083143667353112
PIM1,5.0,17,13,0.06499732499533858,0.7022633466863091,-0.2250913579089786
PIM2,5.0,4,4,-0.8214258019013585,1.1165641964706754,-0.9585368651840148
PRKACA,5.0,327,213,-0.027112612411477763,0.6932202748159999,-0.0411777190366587
PRKAA1,5.0,57,48,0.14473649284451953,0.5862539219515918,0.1774504163280467
PLK4,5.0,4,3,-0.029198341398619033,0.2248008304361657,-0.0095825395276122
PLK1,5.0,84,78,0.022617736144716523,0.5193561675441196,0.02545379773686015
PKN1,5.0,10,7,-0.22223126834276238,0.9442087507688318,-0.147542018378294
NTRK1,5.0,5,3,-0.5593818391440789,0.7611688122195236,-0.2738267873966786
NLK,5.0,5,5,-0.0867610183123575,0.2967677148989797,-0.2312112100313419
