gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
A1BG	A1BG	422	343.818	452.503	439.927	406.832	231.699
A1BG-AS1	A1BG-AS1	88.864	95.458	142.134	43.311	46.863	51.155
A1CF	A1CF	13	4	9	6	5	4
A2M	A2M	1	1	0	0	0	1
A2M-AS1	A2M-AS1	1	0	0	0	1	0
A2ML1	A2ML1	19	7	4	132	168	62
A2MP1	A2MP1	0	0	0	1	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0
A4GALT	A4GALT	10	13	11	6	11	16
A4GNT	A4GNT	5	3	2	1	8	6
AA06	AA06	0	0	0	0	0	0
AAAS	AAAS	4184.719	3505.728	4065.559	4686.391	4496.013	4382.541
AACS	AACS	1764.44	1498.018	1825.357	827.688	797.59	917
AACSP1	AACSP1	65	68.002	134	11	8	33
AADAC	AADAC	0	0	1	3	0	3
AADACL2	AADACL2	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	3	0	0
AADACL4	AADACL4	1	1	4	0	2	0
AADAT	AADAT	1	0	0	0	0	3
AAED1	AAED1	1048.002	689.133	763.228	933.368	900.995	857.341
AAGAB	AAGAB	3239.005	2590.674	3671.127	1269.853	1431	1816
AAK1	AAK1	3016.772	2499.176	3412.796	733	782.057	945.009
AAMDC	AAMDC	328.47	302	477.758	407.378	427.114	354.974
AAMP	AAMP	4853.797	3783.468	4628.406	2147.871	2041.747	2163.078
AANAT	AANAT	0	3	0	1	0	0
AAR2	AAR2	1824.323	1467.043	1618.356	731.167	865.01	969.999
AARD	AARD	0	1	0	0	0	0
AARS	AARS	69359.006	53769.324	57214.998	22856.526	22906.069	24744.82
AARS2	AARS2	3491.139	2630.42	3656.044	2414.083	2587.149	3184.051
AARSD1	AARSD1	1325.116	967.614	1217.88	329.371	380.674	569.66
AASDH	AASDH	887.01	600	794.362	675.404	805.371	722.001
AASDHPPT	AASDHPPT	3084.509	2467.034	3135.929	1722.867	2033.472	2200.81
AASS	AASS	23	15	10	1	0	3
AATF	AATF	6106.314	4500.724	5220.608	2714.176	2799.396	3193.009
AATK	AATK	31	32	41	25	23	52
AATK-AS1	AATK-AS1	0	0	0	0	0	0
ABAT	ABAT	155.03	92	116	124.002	96	94
ABCA1	ABCA1	2	4	4	10	9	9
ABCA10	ABCA10	8	9	6	24	19	22
ABCA11P	ABCA11P	274.371	221.221	292.552	213.7	267.57	290.295
ABCA12	ABCA12	7	2	6	0	2	0
ABCA13	ABCA13	117	103	116.266	77	78.005	104
ABCA17P	ABCA17P	43	30	52	19	21	23
ABCA2	ABCA2	3741.858	3347.848	4445.689	2415.95	2893.474	3599.426
ABCA3	ABCA3	5782.771	4594.186	6038.326	2589.589	2717.845	3267.921
ABCA4	ABCA4	35	25	32	2	8	6
ABCA5	ABCA5	233.672	228	307.003	671.338	688.055	901
ABCA6	ABCA6	15	14	31	44	46	65
ABCA7	ABCA7	8380.39	7403.685	9945.696	11264.287	11030.568	14986.748
ABCA8	ABCA8	1504.635	1260.233	1672.873	1865.94	2222.615	2710.948
ABCA9	ABCA9	10	3	11	12	15	33
ABCB1	ABCB1	40	28	38.082	1	10	5
ABCB10	ABCB10	8397.996	6083.371	6116.976	20382.813	21919.293	20914.88
ABCB11	ABCB11	18	16	17	40	33	28.017
ABCB4	ABCB4	10	9	29	3	5	12
ABCB5	ABCB5	0	1	0	26	20	13
ABCB6	ABCB6	3604.119	2615.431	3108.112	7656.088	7655.582	8917.647
ABCB7	ABCB7	2972.892	2264.425	2683.147	3328.684	3048.227	2118.768
ABCB8	ABCB8	4005.264	2968.147	4602.599	1269.402	1450.483	2463.999
ABCB9	ABCB9	848.998	796.719	1110.312	1424.611	1173.002	1240.017
ABCC1	ABCC1	9934.125	7280.702	8927.511	8809.848	8090.837	8266.394
ABCC10	ABCC10	1929.367	1741.209	2250.384	1045.384	1272.051	1672.806
ABCC11	ABCC11	3	3	6.002	1	0	0
ABCC12	ABCC12	0	0	0	0	0	0
ABCC13	ABCC13	4	7	5	10	16	11
ABCC2	ABCC2	21	17	7	8	4	5
ABCC3	ABCC3	4	13	8	4	4	8
ABCC4	ABCC4	6771.166	5455.628	6669.531	4499.199	4492.652	4296
ABCC5	ABCC5	4886.437	3635.316	4653.488	2583.459	2669.641	3423.289
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0
ABCC6	ABCC6	9.673	7	16.924	16	15	7
ABCC6P1	ABCC6P1	6.678	0	5.427	0	0	0
ABCC6P2	ABCC6P2	5.649	5	5.649	0	0	0
ABCC8	ABCC8	0	1	0	0	0	0
ABCC9	ABCC9	104.169	93	141.999	119	128	149
ABCD1	ABCD1	2180	1519.995	1397.221	2608.865	2285.219	2057
ABCD2	ABCD2	12	8	12	4	2	7
ABCD3	ABCD3	1629.098	1251.258	1578.155	487.687	455.001	592
ABCD4	ABCD4	723.298	579.005	818.446	389.006	477	447
ABCE1	ABCE1	8745.64	6500.861	7614.196	2216.496	2633.876	3536.189
ABCF1	ABCF1	12016.343	8846.752	10159.829	3695.176	3894.018	5655.268
ABCF2	ABCF2	10498.39	7651.213	8595.014	1974.988	1890.739	2791.879
ABCF3	ABCF3	2652.621	1964.424	2442.53	1117	1102.827	1604
ABCG1	ABCG1	0	0	1	0	0	0
ABCG2	ABCG2	37	20	23	326.001	369.001	347.001
ABCG4	ABCG4	5	10	18	4	5	3
ABCG5	ABCG5	3	2	3	2	1	2
ABCG8	ABCG8	2	1	0	0	0	0
ABHD1	ABHD1	14.345	10.147	14.287	3.038	0	3.025
ABHD10	ABHD10	901.01	662.48	838.035	435	475.004	548
ABHD11	ABHD11	587.101	601.999	902.245	425	601	772.784
ABHD12	ABHD12	1435.078	1195.716	1401.233	555.996	671.021	782.904
ABHD12B	ABHD12B	3	3	8	3	0	1
ABHD13	ABHD13	634.029	427.055	567.01	351.058	382	412.002
ABHD14A	ABHD14A	294.656	257	327	332.188	329.921	431
ABHD14A-ACY1	ABHD14A-ACY1	31.694	0	0	34.394	33.917	0
ABHD14B	ABHD14B	3895.68	3633.727	5313.628	3093.028	3293.609	3387
ABHD15	ABHD15	436	388	480	353	431	537
ABHD16A	ABHD16A	5879.927	4443.346	5790.053	7058.221	6747.513	8036.701
ABHD16B	ABHD16B	748	566	847.38	564.69	703	974.223
ABHD17A	ABHD17A	5122.357	4701.86	5976.99	4925.157	5049.287	5167.076
ABHD17B	ABHD17B	822	652.508	879.076	384	373.999	399.999
ABHD17C	ABHD17C	11	20	13	3	8	26
ABHD2	ABHD2	8525.209	7372.698	9836.631	3765.711	4576.652	6884.667
ABHD3	ABHD3	1237.736	1006	1299.001	1025.792	1123.091	1419.628
ABHD4	ABHD4	2211.596	1692.559	2058.111	4647.393	3707.062	2741
ABHD5	ABHD5	9206.928	6480.182	6636.704	17426.946	16481.189	14985.111
ABHD6	ABHD6	471	345.002	361.999	130	132.001	177
ABHD8	ABHD8	1723.595	1464.875	1658.988	1420.134	1396.861	1469.046
ABI1	ABI1	2702.046	2266.447	2823.374	1521.87	1844.665	2072.694
ABI2	ABI2	3271.368	2769.595	3628.457	2223.018	2192.006	2184.008
ABI3	ABI3	0	0	1	2	2	0
ABI3BP	ABI3BP	12	7	4	2	0	1
ABL1	ABL1	24424.334	18974.349	22665.257	15776.711	15919.797	18460.427
ABL2	ABL2	3500.932	2706.543	3699.537	1943.007	1973.419	2431
ABLIM1	ABLIM1	39	27	12	149	126	120
ABLIM2	ABLIM2	1	4	0	1	0	0
ABLIM3	ABLIM3	364	339.999	189.991	4	8	10
ABO	ABO	825	783	1079.787	1004	1039	1613
ABR	ABR	194	155	173	55	71.999	61
ABRA	ABRA	0	0	0	0	0	0
ABRACL	ABRACL	57	38	55	25	24	47
ABT1	ABT1	3019.883	2391.741	2953.951	1356.158	1291	1587.955
ABTB1	ABTB1	170	158.001	199	1226.259	1134.641	675.001
ABTB2	ABTB2	48	45	83	83	78	75
AC000099.1	AC000099.1	0	0	0	0	0	0
AC000124.1	AC000124.1	0	0	0	0	0	0
AC002116.7	AC002116.7	79	63	98	40	33	64
AC002398.5	AC002398.5	4	6	8	4	1	8
AC002454.1	AC002454.1	9	1	9	4	8	3
AC002463.3	AC002463.3	4	1	3	2	0	0
AC002480.3	AC002480.3	480.439	418.001	792.241	31	19	31
AC002511.1	AC002511.1	0	0	1	5	4	1
AC003051.1	AC003051.1	0	0	0	1	0	0
AC003102.3	AC003102.3	25	16	27.552	577	530	338
AC003665.1	AC003665.1	80	82	69.625	49	75	100
AC003958.2	AC003958.2	0	0	0	0	0	0
AC003984.1	AC003984.1	4	2	0	0	1	3
AC004019.13	AC004019.13	3	3	4	0	1	1
AC004053.1	AC004053.1	0	0	0	0	0	1
AC004603.4	AC004603.4	0	0	0	0	0	0
AC004862.6	AC004862.6	0	0	0	0	0	0
AC004893.11	AC004893.11	250.636	229.549	210.625	167.834	165.763	230.72
AC005022.1	AC005022.1	0	0	0	0	0	0
AC005029.1	AC005029.1	0	0	0	0	0	0
AC005062.2	AC005062.2	0	0	3	0	0	0
AC005235.1	AC005235.1	0	0	0	0	0	0
AC005264.2	AC005264.2	10	10	26	0	0	2
AC005358.3	AC005358.3	0	0	0	0	0	0
AC005550.4	AC005550.4	0	0	0	0	0	0
AC005592.2	AC005592.2	11	25	39	1	0	0
AC005594.3	AC005594.3	24.061	10.231	17.717	24.738	11.944	30.13
AC006004.1	AC006004.1	0	0	0	0	0	0
AC006145.4	AC006145.4	0	0	0	0	0	0
AC006196.1	AC006196.1	0	0	0	0	0	0
AC006262.5	AC006262.5	415.005	373.009	203.003	18	42	28
AC006272.1	AC006272.1	9	17	19	23	5	21
AC006372.4	AC006372.4	0	0	0	1	0	3
AC007038.7	AC007038.7	41	38	44.034	36	26	49
AC007040.7	AC007040.7	8	8	13	0	0	0
AC007099.1	AC007099.1	0	0	1	0	0	0
AC007131.1	AC007131.1	11	15	29	20	20	17
AC007163.3	AC007163.3	0	1	0	0	0	0
AC007163.6	AC007163.6	1	1.001	0	0	0	1
AC007246.3	AC007246.3	295	222	372.014	41	33	32
AC007359.6	AC007359.6	0	0	0	0	0	0
AC007365.1	AC007365.1	0	1	2	1	0	0
AC007386.2	AC007386.2	0	0	0	0	0	0
AC007392.3	AC007392.3	0	0	0	0	0	0
AC007392.4	AC007392.4	0	0	0	0	0	0
AC007403.2	AC007403.2	0	0	0	0	0	0
AC007405.4	AC007405.4	27	10	19	39	31	25
AC007461.2	AC007461.2	0	0	0	0	0	0
AC007463.2	AC007463.2	0	0	0	0	0	0
AC007551.3	AC007551.3	63	58	85	66	53	71
AC007682.1	AC007682.1	0	0	0	0	0	0
AC007740.1	AC007740.1	0	0	0	0	0	0
AC007743.1	AC007743.1	68	53	85	42	22	18
AC007750.5	AC007750.5	0	0	0	0	0	0
AC007773.2	AC007773.2	47	26	53	47	51	59
AC007879.2	AC007879.2	0	2	3	1	4	3
AC007880.1	AC007880.1	0	0	0	0	0	1
AC007966.1	AC007966.1	0	0	0	0	0	0
AC008697.1	AC008697.1	0	1	0	0	1	0
AC008703.1	AC008703.1	0	0	0	0	0	0
AC009120.4	AC009120.4	0	0	0	1	0	0
AC009227.2	AC009227.2	0	0	0	0	0	0
AC009264.1	AC009264.1	0	2	0	0	1	0
AC009299.3	AC009299.3	0	0	0	1	4	2
AC009473.1	AC009473.1	7	2	4	1	4	2
AC009501.4	AC009501.4	41	27	57	21	17	28
AC009518.4	AC009518.4	0	0	0	0	0	0
AC009948.5	AC009948.5	543	454.136	742.056	114	159	187
AC010091.1	AC010091.1	0	0	0	0	1	0
AC010127.3	AC010127.3	3.111	0	1.015	0	0	0
AC010226.4	AC010226.4	0	0	7.19	47.906	59.878	44.406
AC010524.2	AC010524.2	77	42	58	43	48	48
AC010731.4	AC010731.4	0	0	0	0	0	0
AC010890.1	AC010890.1	0	0	0	0	0	0
AC010975.1	AC010975.1	0	0	0	1	0	0
AC010987.6	AC010987.6	0	0	0	0	0	0
AC011298.2	AC011298.2	0	0	0	3	0	0
AC011343.1	AC011343.1	0	0	0	0	0	0
AC011518.1	AC011518.1	0	0	0	0	0	0
AC011609.3	AC011609.3	0	0	0	0	0	0
AC011718.2	AC011718.2	11.379	5.952	12.413	1	9.873	15.995
AC011738.4	AC011738.4	1	0	1	1	1	0
AC011747.4	AC011747.4	22	27	35.004	56	91.004	78
AC011747.7	AC011747.7	58	62	81.001	144	138	111
AC011899.9	AC011899.9	0	0	0	0	0	3
AC012075.2	AC012075.2	0	0	0	0	0	0
AC012309.5	AC012309.5	0	8	1	2	0	4
AC012314.8	AC012314.8	55.051	29.011	76.078	99.153	60.038	86.164
AC012494.1	AC012494.1	4	3	2	1	2	0
AC012507.3	AC012507.3	0	1	0	1	0	0
AC015922.6	AC015922.6	1	4	2	0	0	0
AC016582.2	AC016582.2	2	0	1	0	0	1
AC016629.8	AC016629.8	78.622	57.461	102.14	64.149	59.29	73.029
AC016738.3	AC016738.3	0	0	0	0	0	0
AC016910.1	AC016910.1	0	0	0	2	0	0
AC016995.3	AC016995.3	31	23	19	49	28	23
AC017060.1	AC017060.1	0	2	0	0	0	0
AC018464.3	AC018464.3	0	0	0	0	0	0
AC018470.4	AC018470.4	157	140	187	304	283	322
AC018647.3	AC018647.3	0	0	0	0	0	0
AC018705.5	AC018705.5	0	0	0	0	0	0
AC018742.1	AC018742.1	0	0	0	0	0	0
AC018799.1	AC018799.1	0	0	0	0	0	0
AC019048.1	AC019048.1	0	0	1	0	0	0
AC019118.2	AC019118.2	0	0	0	0	0	0
AC020571.3	AC020571.3	191	155	199	7	8	10
AC022007.5	AC022007.5	22.785	28.87	37.859	97.75	135.746	130.7
AC022173.2	AC022173.2	0	0	0	0	0	0
AC022311.1	AC022311.1	0	0	0	0	0	0
AC024592.9	AC024592.9	6	0	2	0	1	0
AC027269.2	AC027269.2	1	4	3	0	0	0
AC037193.1	AC037193.1	0	0	0	0	0	0
AC058791.1	AC058791.1	1	1	2	3	6	6
AC068831.10	AC068831.10	54	34	54	65	57	52
AC068858.1	AC068858.1	0	0	0	0	0	0
AC069277.1	AC069277.1	2	0	1	0	2	0
AC072062.1	AC072062.1	20	13	28	12	13	23
AC073128.10	AC073128.10	0	0	0	1	1	0
AC073133.1	AC073133.1	1	0	1	1	0	1
AC073283.4	AC073283.4	1	3	1	1	1	0
AC073321.3	AC073321.3	0	0	0	0	0	0
AC073628.1	AC073628.1	0	0	0	0	0	0
AC074138.3	AC074138.3	42	28	52	47	37.02	42
AC074286.1	AC074286.1	534.002	506	637	323.834	319	439.033
AC074289.1	AC074289.1	49	60	76.005	37	52	54
AC078941.1	AC078941.1	0	0	0	0	0	0
AC079117.1	AC079117.1	0	0	0	0	0	0
AC079145.4	AC079145.4	0	1	0	1	0	2
AC079586.1	AC079586.1	2	2	0	0	0	0
AC079610.2	AC079610.2	0	0	0	0	0	0
AC079776.3	AC079776.3	0	0	0	0	0	0
AC087859.1	AC087859.1	0	0	0	0	0	0
AC090044.1	AC090044.1	0	0	0	0	0	0
AC090505.6	AC090505.6	0	0	0	0	0	0
AC091729.9	AC091729.9	270.999	276	410	322.001	321	382.999
AC091878.1	AC091878.1	0	0	0	0	0	4
AC091969.1	AC091969.1	0	0	0	0	0	0
AC092295.7	AC092295.7	24	21	14	30	28	24
AC093375.1	AC093375.1	98	64	125	196	211	257
AC093391.2	AC093391.2	22	26	27.011	21	27	14
AC093590.1	AC093590.1	0	0	0	0	0	0
AC093690.1	AC093690.1	10	10	11.006	8	22	13
AC095067.1	AC095067.1	2	1	0	0	1	0
AC096559.1	AC096559.1	108	94	97	49	55.023	48
AC097468.4	AC097468.4	0	0	0	0	0	0
AC097500.2	AC097500.2	8	5	2	3	4	2
AC097662.2	AC097662.2	10	13	18	7	8	6
AC098823.3	AC098823.3	15	19	14	15	17	17
AC099342.1	AC099342.1	0	0	0	0	0	0
AC104024.1	AC104024.1	0	0	0	0	0	0
AC104134.2	AC104134.2	5.385	7.531	7.072	7.945	8.418	4.505
AC104653.1	AC104653.1	18	17	10	11	10	10
AC104654.1	AC104654.1	0	0	0	0	0	0
AC104654.2	AC104654.2	0	0	0	3	0	2
AC104655.2	AC104655.2	0	0	2.021	0	0	2.034
AC104777.2	AC104777.2	0	0	0	0	0	0
AC104777.4	AC104777.4	0	0	0	0	0	0
AC104820.2	AC104820.2	0	0	0	0	0	0
AC105053.3	AC105053.3	0	4	1	0	0	0
AC105253.1	AC105253.1	0	0	0	0	0	0
AC105339.1	AC105339.1	3	0	0	5	0	1
AC105760.3	AC105760.3	1	0	2	0	1	0
AC107070.1	AC107070.1	0	0	0	0	0	0
AC107622.1	AC107622.1	0	0	0	0	1	0
AC108142.1	AC108142.1	0	3	0	0	0	0
AC109828.1	AC109828.1	1.001	1	3	4.007	0	1.002
AC113607.2	AC113607.2	0	1	0	0	0	0
AC116035.1	AC116035.1	0	0	0	0	0	0
AC125421.1	AC125421.1	0	0	0	0	0	2
AC131097.3	AC131097.3	11	5	16	5	3	11
AC136896.1	AC136896.1	0	0	0	0	0	0
AC137932.6	AC137932.6	0	0	0	9	6	5
AC144449.1	AC144449.1	1	2	3	3	1	5.003
AC145110.1	AC145110.1	0	0	0	0	2	0
AC147651.4	AC147651.4	114	90.24	175.381	60	91	49
AC159540.1	AC159540.1	28.628	16.843	5.728	26.511	23.866	44.561
AC159540.1-2	AC159540.1	140.371	82.847	95.272	169.489	151.134	273.787
AC226118.1	AC226118.1	0	0	3	0	0	5
ACAA1	ACAA1	2421.83	2099.108	3034.373	1331.542	1361.001	1869.418
ACAA2	ACAA2	1922.925	1866.918	2163.777	1571.095	1663	1846.9
ACACA	ACACA	10637.452	8249.772	10512.86	4243.396	4540.789	5956.967
ACACB	ACACB	1062.003	1232.219	1305.003	551.368	560	741.979
ACAD10	ACAD10	1806.5	1676.301	2194.258	2272.473	2476.452	2301.084
ACAD11	ACAD11	372.007	370.119	606.573	101.809	101.254	106.277
ACAD8	ACAD8	1230.83	933.099	1302.288	830.855	919.2	1090.962
ACAD9	ACAD9	1403.436	1140.058	1611.426	751.043	1083.915	1389.133
ACADL	ACADL	0	0	0	0	1	0
ACADM	ACADM	4768.544	3600.767	5066.581	3175.329	3756.008	3367.362
ACADS	ACADS	1372.321	1232.133	1782.785	2922.809	3329.844	2938.086
ACADSB	ACADSB	806.094	704.338	795.441	353	287	416
ACADVL	ACADVL	12050.279	9657.376	13594.699	9451.585	9579.192	10676.101
ACAN	ACAN	0	0	1	7	2	1
ACAP1	ACAP1	905.872	633.663	785.918	567	399	263
ACAP2	ACAP2	7673.232	6327.103	7417.708	3876.218	4214.363	3688.806
ACAP3	ACAP3	3930.064	3201.514	4444.396	7451.94	6898.277	8588.25
ACAT1	ACAT1	4605.694	3608.326	4309.711	2242.079	2096.475	2484.038
ACAT2	ACAT2	5181.546	3982.298	5418.109	2368.318	1887.371	1766.52
ACBD3	ACBD3	5367.981	3787.379	5063.641	3307.854	2629.002	2269.151
ACBD4	ACBD4	863.002	760.842	968.608	772.197	828.202	1030.015
ACBD5	ACBD5	1017.006	745.61	1001.594	467	558.999	637
ACBD6	ACBD6	4616.245	3609.583	4297.6	1752.551	1847.046	2056
ACBD7	ACBD7	145	126	167	29	23.001	43
ACCS	ACCS	856.115	804.004	1357.81	888.264	940.645	1356.999
ACCSL	ACCSL	1	2	0	1	1	0
ACD	ACD	1424.692	1181.365	1709.428	865.003	1024.028	1094.009
ACE	ACE	214	250	235	1	10	3
ACE2	ACE2	1	0	8	4	14	10
ACER1	ACER1	0	1	0	0	0	0
ACER2	ACER2	146	153	226	277	240	225
ACER3	ACER3	1739.156	1332.389	1701.241	928	968.019	1087.001
ACHE	ACHE	226.001	171.001	203.315	985.086	1018	1400.464
ACIN1	ACIN1	16755.839	12560.584	15792.153	9055.133	8229.23	10849.128
ACKR2	ACKR2	75	74	71	153	149	158
ACKR3	ACKR3	0	0	0	0	1	1
ACKR4	ACKR4	26	14	29	12	19	26
ACLY	ACLY	18354.052	14907.075	21429.011	5639.339	5331.445	6470.099
ACMSD	ACMSD	0	0	1	0	1	0
ACN9	ACN9	1558.055	1215	1832.953	794.037	775.024	906
ACO1	ACO1	2387.744	2095.949	2563.568	1620	1806.362	1901.508
ACO2	ACO2	9064.144	7091.212	9696.975	5037.728	5850.351	7119.34
ACOT1	ACOT1	1.108	0	0	9.185	0	4.197
ACOT11	ACOT11	61.724	51	150.079	25	51	45
ACOT12	ACOT12	1	1	0	0	0	0
ACOT13	ACOT13	2420.359	1886.399	2433.08	1893.824	1940.772	2020.514
ACOT2	ACOT2	5.891	10	15	9.814	14	6.803
ACOT4	ACOT4	1	1	0	0	0	0
ACOT6	ACOT6	0	0	0	0	0	0
ACOT7	ACOT7	2770.078	2417.198	3107.961	900.473	917.599	1208.992
ACOT8	ACOT8	1448.168	1335.226	1529.925	1543.498	1387.768	1193.164
ACOT9	ACOT9	2015.15	1606.833	2193.636	1067.326	1115.01	1252.88
ACOX1	ACOX1	2583.968	2121.837	3176.416	2322.14	1963.397	2098.973
ACOX2	ACOX2	2	1	0	7	8	4
ACOX3	ACOX3	762.107	654.001	774.116	669.022	660.552	633
ACOXL	ACOXL	5	8	11	53	55	26
ACP1	ACP1	5480.331	4296.715	5585.191	4501.23	4560.752	4224.044
ACP2	ACP2	841	743.306	928.317	479	664.002	874
ACP5	ACP5	443.005	328.166	207	27	14	40
ACP6	ACP6	145	112	136	60	61	42
ACPL2	ACPL2	84	90	119	157	170.001	198
ACPP	ACPP	43	23	35	3	10	13
ACPT	ACPT	4	0	0	0	1	0
ACR	ACR	0	1	0	0	0	3
ACRBP	ACRBP	108	192	372.267	49	35	52
ACRC	ACRC	137	95.009	149	31	47	54
ACRV1	ACRV1	9	12	8	6	4	12
ACSBG1	ACSBG1	87	99	124.006	50	62	49
ACSBG2	ACSBG2	20	6	21	18	16	18
ACSF2	ACSF2	671	615.039	766.352	951.185	974.735	837
