gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
A1BG	A1BG	7.998156	8.209032	8.753227	9.122155	8.647827	4.80607
A1BG-AS1	A1BG-AS1	1.354903	1.834976	2.211178	0.722969	0.802999	0.857592
A1CF	A1CF	0.041214	0.01603	0.029086	0.020872	0.017934	0.014158
A2M	A2M	0.006473	0.008177	0	0	0	0.007197
A2M-AS1	A2M-AS1	0.014794	0	0	0	0.01663	0
A2ML1	A2ML1	0.153178	0.060938	0.032886	0.888303	1.233509	0.463977
A2MP1	A2MP1	0	0	0	0.033229	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0
A4GALT	A4GALT	0.130643	0.214224	0.195045	0.114089	0.195784	0.273711
A4GNT	A4GNT	0.09445	0.071391	0.038559	0.020667	0.169492	0.124052
AA06	AA06	0	0	0	0	0	0
AAAS	AAAS	76.448683	80.811714	75.409552	95.014164	93.593345	88.74739
AACS	AACS	16.914712	18.079868	17.892661	8.53674	8.525694	9.599141
AACSP1	AACSP1	0.967657	1.276442	2.035383	0.179294	0.13387	0.540412
AADAC	AADAC	0	0	0.022041	0.070832	0	0.070658
AADACL2	AADACL2	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0.026195	0	0
AADACL4	AADACL4	0.023701	0.029827	0.088707	0	0.053025	0
AADAT	AADAT	0.015429	0	0	0	0	0.050883
AAED1	AAED1	28.968556	23.858704	21.602301	28.08542	27.598173	25.383015
AAGAB	AAGAB	32.207419	34.237748	39.409817	14.886983	18.057489	20.254592
AAK1	AAK1	4.077958	4.272088	4.702097	1.08757	1.19721	1.429535
AAMDC	AAMDC	35.135623	40.345203	53.428792	45.210597	48.168675	36.82877
AAMP	AAMP	90.463209	88.807341	88.007091	43.768001	42.669258	44.108896
AANAT	AANAT	0	0.141036	0	0.040852	0	0
AAR2	AAR2	23.124781	23.470143	20.835847	10.187183	12.408776	13.594538
AARD	AARD	0	0.023563	0	0	0	0
AARS	AARS	644.758295	630.621074	544.474862	232.869926	239.900518	254.60093
AARS2	AARS2	23.577726	23.808877	25.942667	19.144983	20.770985	24.161424
AARSD1	AARSD1	34.330841	31.533041	32.220854	9.323899	11.019031	16.013005
AASDH	AASDH	7.771417	6.682934	7.206167	6.438276	7.89217	6.989144
