gene_id	gene_name	control_rep1	control_rep2	control_rep3	imatinib_rep1	imatinib_rep2	imatinib_rep3
A1BG	A1BG	28	46.554	25.089	67.076	65.626	28.674
A1BG-AS1	A1BG-AS1	58.737	46.604	54.506	71.508	68.914	69.672
A1CF	A1CF	1	1	0	1	4	0
A2M	A2M	3	0	0	0	0	0
A2M-AS1	A2M-AS1	0	0	0	0	0	0
A2ML1	A2ML1	10	20	11	373.219	427.35	199
A2MP1	A2MP1	0	0	0	0	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0
A4GALT	A4GALT	0	1	0	1	0	0
A4GNT	A4GNT	0	0	0	1	2	0
AA06	AA06	0	0	0	0	0	0
AAAS	AAAS	1147.282	1316.585	1159.388	1549.504	1729.36	1360.089
AACS	AACS	750.642	771.284	723.605	605.318	719.165	618.928
AACSP1	AACSP1	70	66	72.043	27	43	42
AADAC	AADAC	0	0	0	0	0	0
AADACL2	AADACL2	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0
AADACL4	AADACL4	0	0	0	0	0	0
AADAT	AADAT	0	0	0	0	0	0
AAED1	AAED1	224.001	249.517	202.473	235.515	249.19	215
AAGAB	AAGAB	1259.41	1495.752	1389.419	1005.612	1212.625	1241.264
AAK1	AAK1	446.969	502.202	412.007	382.061	437.021	400
AAMDC	AAMDC	37	82	40	137	159	122.962
AAMP	AAMP	2140.101	2238.965	1759.647	1139.595	1343.355	1326.826
AANAT	AANAT	0	0	0	0	0	0
AAR2	AAR2	775.675	885.598	739.77	506.121	590.65	574.614
AARD	AARD	0	0	0	0	0	0
AARS	AARS	8398.997	10073.732	8897.713	12958.505	15128.767	11045.695
AARS2	AARS2	1609.175	1574.372	1327.73	1707.191	1824.752	1604.822
AARSD1	AARSD1	748.956	788.974	756.47	367.378	455.586	425.408
AASDH	AASDH	260.1	289.227	285.329	596.644	665.975	482.55
AASDHPPT	AASDHPPT	2054.775	2227.641	2118.8	1792.185	2017.489	2056.076
AASS	AASS	33	36	31	35	39	32
AATF	AATF	3321.069	3609.519	2960.972	1874.674	2317.476	2257.186
AATK	AATK	4	14	10	4	5	12
AATK-AS1	AATK-AS1	0	0	0	0	0	0
ABAT	ABAT	3	3	8.003	16	22	10
ABCA1	ABCA1	1	4	0	29	38	17
ABCA10	ABCA10	1	2	2	0	0	1
ABCA11P	ABCA11P	67.179	95.387	84.829	137.293	126.979	122.29
ABCA12	ABCA12	0	0	0	0	0	0
ABCA13	ABCA13	0	0	1	0	0	0
ABCA17P	ABCA17P	9	4	10.033	10	11	14
ABCA2	ABCA2	1189.163	1381.425	1198.211	1359.937	1635.292	1198.519
ABCA3	ABCA3	1179.011	1132.976	1111.285	918	1059.987	951.084
ABCA4	ABCA4	0	0	0	0	0	0
ABCA5	ABCA5	42	55	68.055	166	186	144.22
ABCA6	ABCA6	1	2	1	25	19.934	8
ABCA7	ABCA7	2092.305	2006.742	1790.283	4161.462	4696.405	3516.007
ABCA8	ABCA8	93	78.937	98	323	379.662	233.984
ABCA9	ABCA9	0	0	0	2	1	0
ABCB1	ABCB1	26	32	14	12	26	24
ABCB10	ABCB10	1134.919	1368.414	1143.356	4509.591	4970.911	3204.115
ABCB11	ABCB11	2	4	4	4	7	3
ABCB4	ABCB4	3	0	0	3	3	4
ABCB5	ABCB5	1	0	0	0	0	0
ABCB6	ABCB6	770.043	790	720.013	1903.495	2083.049	1373.639
ABCB7	ABCB7	534.309	634.003	592.425	1106.582	1293.218	928.49
ABCB8	ABCB8	866.469	895.107	771.616	1131.994	1315.105	1090.885
ABCB9	ABCB9	268.22	296.717	241.745	261.044	272.911	222.649
ABCC1	ABCC1	1431.864	1584.825	1493.075	1219.6	1377.949	1162.157
ABCC10	ABCC10	635.078	839.07	659.818	643.428	767.508	581.199
ABCC11	ABCC11	0	1	0	5	6	4
ABCC12	ABCC12	0	0	0	0	0	0
ABCC13	ABCC13	3	1	2	2	4	1
ABCC2	ABCC2	1	4	3	3	4	3
ABCC3	ABCC3	10	16	6	22	16	28
ABCC4	ABCC4	1469.79	1492.52	1445.963	1208.908	1427.449	1288.398
ABCC5	ABCC5	1366.529	1487.975	1324.499	1324.387	1540.41	1193.228
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0
ABCC6	ABCC6	0.998	1	1	2	1	0
ABCC6P1	ABCC6P1	0	2	1	0	0	0
ABCC6P2	ABCC6P2	1.002	0	0	0	0	0
ABCC8	ABCC8	0	0	0	0	0	0
ABCC9	ABCC9	32.898	26	25.94	107	118.555	88
ABCD1	ABCD1	447.032	447.822	344.652	836.141	907.294	591.6
ABCD2	ABCD2	4	0	0	1	0	1
ABCD3	ABCD3	955.476	1033.73	992.966	670.462	823.228	835.308
ABCD4	ABCD4	288.886	324.32	271.393	409.046	517.749	354.012
ABCE1	ABCE1	5469.749	6201.114	5849.226	2347.248	2705.435	3541.741
ABCF1	ABCF1	7028.898	7277.424	6707.202	3522.192	4057.632	4348.801
ABCF2	ABCF2	4870.485	5311.511	4553.222	1609.914	1811.04	2174.135
ABCF3	ABCF3	1144.633	1105.542	992.818	739	821.788	689.151
ABCG1	ABCG1	0	0	0	0	0	0
ABCG2	ABCG2	97.17	140	116.017	528	603.879	381.359
ABCG4	ABCG4	1	0	0	0	0	0
ABCG5	ABCG5	3	1	1	2	2	1
ABCG8	ABCG8	0	0	0	0	0	0
ABHD1	ABHD1	3.024	1.011	0	0	2.019	8.071
ABHD10	ABHD10	327.901	348.033	282.427	400.189	497.533	355.269
ABHD11	ABHD11	220.001	207.073	189.435	172.378	220	193.825
ABHD12	ABHD12	336.143	282.791	231.02	399.598	506.781	378.172
ABHD12B	ABHD12B	2	3	3	0	2	2
ABHD13	ABHD13	360.467	369	372.533	330.038	326.005	294
ABHD14A	ABHD14A	102	95	65.755	128.78	115.094	104.927
ABHD14A-ACY1	ABHD14A-ACY1	0	0	0	0	0	23.398
ABHD14B	ABHD14B	971.803	1088.841	967.706	1272.493	1492.461	1098.298
ABHD15	ABHD15	68	47	52	123.021	171	120
ABHD16A	ABHD16A	1293.141	1189.374	1128.552	2150.541	2307.539	1859.703
ABHD16B	ABHD16B	125	177.007	143	187.012	191	128
ABHD17A	ABHD17A	1076.81	1184.762	861.606	817.005	975.447	783.872
ABHD17B	ABHD17B	369.047	417.484	384.271	264	325.244	326.078
ABHD17C	ABHD17C	4	2	3	2	3	3
ABHD2	ABHD2	1899.764	1987.674	1876.238	1898.055	2244.77	1961.357
ABHD3	ABHD3	331.444	456.083	343.952	397	450.99	387.386
ABHD4	ABHD4	503.165	505.563	450.156	1187.013	1541.926	853.645
ABHD5	ABHD5	915.124	1041.656	961.639	3547.28	3973.228	2298.697
ABHD6	ABHD6	143.05	155	145.223	116.838	141	132
ABHD8	ABHD8	216.023	246	158.05	422.495	586.935	392.118
ABI1	ABI1	1228.117	1288.627	1199.182	1334.297	1577.934	1408.437
ABI2	ABI2	743.398	806.071	701.544	852.547	1024.688	838.732
ABI3	ABI3	1	0	0	0	1	0
ABI3BP	ABI3BP	7	8	5	20	23	9
ABL1	ABL1	5141.957	5292.815	4642.125	4990.897	6190.72	5021.562
ABL2	ABL2	1160.805	1265.079	1279.415	824.926	961.477	890.475
ABLIM1	ABLIM1	450.451	411.91	439.015	668.001	811.096	591.246
ABLIM2	ABLIM2	0	0	0	0	0	0
ABLIM3	ABLIM3	0	0	0	0	1	0
ABO	ABO	383.229	320.442	304.009	858.757	1201.134	650.579
ABR	ABR	230.796	301	242.309	249.999	341	278.162
ABRA	ABRA	0	0	0	0	0	0
ABRACL	ABRACL	668.972	796.983	677.292	775.678	761.021	794.457
ABT1	ABT1	1862.845	1986.906	1735.664	1047.414	1137.157	1197.084
ABTB1	ABTB1	10	12	17	152	183	95.85
ABTB2	ABTB2	22	25	14.069	18	27	21
AC000099.1	AC000099.1	0	0	0	0	0	0
AC000124.1	AC000124.1	0	0	0	0	0	0
AC002116.7	AC002116.7	35.991	26	23	34.037	27	35
AC002398.5	AC002398.5	0	0	0	0	0	0
AC002454.1	AC002454.1	5	1	1	1	0	2
AC002463.3	AC002463.3	0	0	0	0	0	0
AC002480.3	AC002480.3	207.025	197.004	174.101	21	28	36
AC002511.1	AC002511.1	0	0	0	0	0	0
AC003051.1	AC003051.1	0	0	0	0	0	0
AC003102.3	AC003102.3	4	0	1	19	18	15
