gene_id	gene_name	control_rep1	control_rep2	control_rep3	imatinib_rep1	imatinib_rep2	imatinib_rep3
A1BG	A1BG	1.684955	2.55888	1.635064	3.691487	3.245825	1.72918
A1BG-AS1	A1BG-AS1	2.844853	2.061283	2.837867	3.166462	2.742414	3.380911
A1CF	A1CF	0.010087	0.009204	0	0.009213	0.033116	0
A2M	A2M	0.061761	0	0	0	0	0
A2M-AS1	A2M-AS1	0	0	0	0	0	0
A2ML1	A2ML1	0.183351	0.334672	0.212779	6.251589	6.432572	3.691099
A2MP1	A2MP1	0	0	0	0	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0
A4GALT	A4GALT	0	0.050395	0	0.050456	0	0
A4GNT	A4GNT	0	0	0	0.054851	0.09859	0
AA06	AA06	0	0	0	0	0	0
AAAS	AAAS	66.321309	69.239689	72.986592	85.458441	85.034254	78.445139
AACS	AACS	23.317734	21.337829	23.238681	16.383519	17.781417	18.565704
AACSP1	AACSP1	3.310489	2.850311	3.659909	1.167397	1.670815	1.990036
AADAC	AADAC	0	0	0	0	0	0
AADACL2	AADACL2	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0
AADACL4	AADACL4	0	0	0	0	0	0
AADAT	AADAT	0	0	0	0	0	0
AAED1	AAED1	19.65465	19.084166	19.078279	17.301037	16.572962	17.718849
AAGAB	AAGAB	45.870817	47.768085	55.021561	28.175725	31.631886	41.024239
AAK1	AAK1	1.922831	1.971197	1.853861	1.501023	1.542825	1.722628
AAMDC	AAMDC	12.728432	25.347788	17.121127	41.051562	43.167892	40.30238
AAMP	AAMP	126.639821	121.007112	112.693285	61.680971	65.296203	78.695837
AANAT	AANAT	0	0	0	0	0	0
AAR2	AAR2	31.195442	32.152553	31.6762	18.631058	19.486818	23.193646
AARD	AARD	0	0	0	0	0	0
AARS	AARS	249.915368	274.103099	280.032863	350.722938	368.712333	328.601944
AARS2	AARS2	38.53769	34.978638	33.944122	39.258974	36.965474	39.161366
AARSD1	AARSD1	61.551835	59.251519	68.279573	27.62749	30.79206	35.05036
AASDH	AASDH	7.239822	7.315558	8.51003	14.904829	15.188197	13.675064
AASDHPPT	AASDHPPT	71.499524	70.767172	78.581086	56.996192	57.658863	71.662825
AASS	AASS	0.531776	0.529426	0.526304	0.515231	0.515907	0.516331
AATF	AATF	159.90846	158.710027	153.23148	82.525772	91.682137	108.889332
AATK	AATK	0.074891	0.239225	0.197572	0.068419	0.076853	0.224975
AATK-AS1	AATK-AS1	0	0	0	0	0	0
ABAT	ABAT	0.060224	0.054966	0.16968	0.284407	0.351415	0.201023
ABCA1	ABCA1	0.00906	0.033069	0	0.240281	0.275201	0.160822
ABCA10	ABCA10	0.014892	0.027182	0.031357	0	0	0.014911
ABCA11P	ABCA11P	3.722746	4.827715	5.075518	6.957095	5.782624	6.790523
ABCA12	ABCA12	0	0	0	0	0	0
ABCA13	ABCA13	0	0	0.005588	0	0	0
ABCA17P	ABCA17P	0.207245	0.084071	0.244451	0.210395	0.207974	0.322841
ABCA2	ABCA2	13.661809	14.486427	14.466364	14.259653	15.443885	13.805484
ABCA3	ABCA3	16.75203	14.690704	16.615922	11.914922	12.362885	13.530595
ABCA4	ABCA4	0	0	0	0	0	0
ABCA5	ABCA5	0.47232	0.548821	0.773692	1.693028	1.692315	1.605676
ABCA6	ABCA6	0.022477	0.044117	0.023774	0.475043	0.367877	0.146728
ABCA7	ABCA7	30.614049	27.281689	27.839061	56.49568	58.410413	53.399009
ABCA8	ABCA8	1.549568	1.271187	1.789409	4.788473	5.007402	3.818527
ABCA9	ABCA9	0	0	0	0.037227	0.012395	0
ABCB1	ABCB1	0.527689	0.59276	0.300132	0.222511	0.433232	0.487769
ABCB10	ABCB10	29.799027	32.860541	32.188236	112.090427	110.851255	87.176224
ABCB11	ABCB11	0.040063	0.073125	0.081789	0.0732	0.11131	0.060173
ABCB4	ABCB4	0.072792	0	0	0.066511	0.06249	0.100234
ABCB5	ABCB5	0.045575	0	0	0	0	0
ABCB6	ABCB6	25.267087	23.664525	25.149689	57.081325	56.134729	45.145265
ABCB7	ABCB7	21.377934	23.144319	25.341017	40.428386	42.467114	37.226863
ABCB8	ABCB8	17.711471	16.707857	16.69094	21.144192	22.0825	22.358517
ABCB9	ABCB9	8.701059	9.229622	8.421273	6.918128	8.254768	7.126951
ABCC1	ABCC1	20.806497	20.899226	22.831145	16.109842	16.36403	16.964983
ABCC10	ABCC10	12.150167	14.826054	13.746924	11.117356	12.200397	11.379116
ABCC11	ABCC11	0	0.019645	0	0.098327	0.10603	0.086216
ABCC12	ABCC12	0	0	0	0	0	0
ABCC13	ABCC13	0.33725	0.151619	0.384271	0.303767	0.250346	0.035386
ABCC2	ABCC2	0.022125	0.068907	0.07019	0.060644	0.072662	0.066468
ABCC3	ABCC3	0.249466	0.269159	0.161181	0.436572	0.251296	0.536394
ABCC4	ABCC4	24.768509	23.144365	24.98937	18.601852	19.564756	21.677043
ABCC5	ABCC5	30.4674	30.43245	31.289283	29.72346	31.423007	30.280133
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0
ABCC6	ABCC6	0.198686	0.182438	0.235958	0.199778	0.164367	0
ABCC6P1	ABCC6P1	0	0.066968	0.039141	0	0	0
ABCC6P2	ABCC6P2	0.205053	0	0	0	0	0
ABCC8	ABCC8	0	0	0	0	0	0
ABCC9	ABCC9	0.368733	0.265925	0.305396	1.095441	1.090665	1.005348
